"","name","id","date","type","year"
"5513","Consideration of Lords Amendments and further messages from the Lords","123","14 Feb. 2001","Commons",2001
"5514","Consideration of Lords Amendments and further messages from the Lords","170","2 Apr. 2001","Commons",2001
"5515","CONSIDERATION OF LORDS AMENDMENTS.","1","8 Aug. 1882","Commons",1882
"5516","CONSIDERATION OF LORDS AMENDMENTS.","309, 310","8 Aug. 1911","Commons",1911
"5517","CONSIDERATION OF LORDS AMENDMENTS.","156, 157","6 Feb. 1918","Commons",1918
"5518","CONSIDERATION OF POSTPONED LORDS' AMENDMENTS.","1","18 Aug. 1887","Commons",1887
"5519","CONSIDERATION. ADJOURNED DEBATE.","1","6 Aug. 1887","Commons",1887
"5520","CONSIDERATION.","1","12 Jul. 1867","Commons",1867
"5521","CONSIDERATION.","1, 2","8 Aug. 1867","Commons",1867
"5522","CONSIDERATION.","1","7 Jul. 1882","Commons",1882
"5523","CONSIDERATION.","1","8 Aug. 1888","Commons",1888
"5524","CONSIDERATIONS APPLYING TO THE EXERCISE OF POWERS","243","16 May. 2002","Commons",2002
"5525","Considered in Committee [Progress, 19 April]","244, 245","21 Apr. 1993","Commons",1993
"5526","CONSIDERED IN COMMITTEE.— [34th day.]","244, 245","24 Sep. 1909","Commons",1909
"5527","CLAUSE 64.—(Duty on Motor Spirit.)","728, 729, 730","24 Sep. 1909","Commons",1909
"5528","CLAUSE 66.—(Duty on Licences for Motor Cars.)","731","24 Sep. 1909","Commons",1909
"5529","CONSIDERED IN COMMITTEE.","65, 66","19 Apr. 1909","Commons",1909
"5530","CONSITUTION AND PROCEEDINGS ETC. OF A NEW WATER AND SEWERAGE AUTHORITY","245","18 May. 1994","Commons",1994
"5531","CONSOLIDATED FUND (APPRO PRIATION) BILL.","379","6 Aug. 1902","Commons",1902
"5532","CONSOLIDATED FUND (APPROPRIA- TION) BILL.","356, 357, 358","8 Aug. 1905","Commons",1905
"5533","CONSOLIDATED FUND (APPROPRIATION) (NO. 2) BILL","248, 249","23 Jun. 2003","Commons",2003
"5534","CONSOLIDATED FUND (APPROPRIATION) BILL.","340","11 Aug. 1904","Commons",1904
"5535","CONSOLIDATED FUND (APPROPRIATION) BILL.","276","12 Aug. 1913","Commons",1913
"5536","CONSOLIDATED FUND (APPROPRIATION) BILL.","279","14 Aug. 1913","Commons",1913
"5537","CONSOLIDATED FUND (APPROPRIATION) BILL","63","27 Jul. 1950","Commons",1950
"5538","CONSOLIDATED FUND (APPROPRITION) (No. 2) BILL.","501, 502","12 Nov. 1902","Commons",1902
"5539","CONSOLIDATED FUND (NATIONAL DEBT).","108, 109","3 May. 1928","Commons",1928
"5540","CONSOLIDATED FUND (No. 1) BILL,","54","25 Mar. 1912","Commons",1912
"5541","CONSOLIDATED FUND (NO. 1) BILL. [THIRD READING.]","33, 34","22 Feb. 1900","Commons",1900
"5542","CONSOLIDATED FUND (No. 1) BILL.","28","20 Feb. 1900","Commons",1900
"5543","CONSOLIDATED FUND (No. 1) BILL.","30","21 Feb. 1900","Commons",1900
"5544","CONSOLIDATED FUND (No. 1) BILL.","89","27 Mar. 1905","Commons",1905
"5545","CONSOLIDATED FUND (No. 1) BILL.","93","30 Mar. 1905","Commons",1905
"5546","CONSOLIDATED FUND (No. 1) BILL.","93","30 Mar. 1905","Commons",1905
"5547","CONSOLIDATED FUND (NO. 1) BILL.","22","21 Mar. 1906","Commons",1906
"5548","CONSOLIDATED FUND (No. 1) BILL.","45","19 Mar. 1907","Commons",1907
"5549","CONSOLIDATED FUND (No. 1) BILL.","2, 46, 48, 49, 50","21 Mar. 1907","Commons",1907
"5550","CONSOLIDATED FUND (No. 1) BILL.","76","23 Mar. 1911","Commons",1911
"5551","CONSOLIDATED FUND (NO. 1) BILL.","10, 11, 12","26 Mar. 1913","Commons",1913
"5552","CONSOLIDATED FUND (No. 1) BILL.","55","25 Mar. 1914","Commons",1914
"5553","CONSOLIDATED FUND (No. 1) BILL.","57","30 Mar. 1914","Commons",1914
"5554","CONSOLIDATED FUND (No. 1)BILL.","57","28 Mar. 1923","Commons",1923
"5555","CLAUSE 1.—(issue of £1,209,098 out of the Consolidated Fund for the service of the year ending 31st March, 1923.)","69","28 Mar. 1923","Commons",1923
"5556","CONSOLIDATED FUND (No. 2) BILL.","75","21 Mar. 1900","Commons",1900
"5557","CONSOLIDATED FUND (No. 2) BILL.","206","23 Jun. 1905","Commons",1905
"5558","CONSOLIDATED FUND (No. 2) BILL.","228, 229, 230, 231, 232, 233, 234, 236","3 Jul. 1905","Commons",1905
"5559","CONSOLIDATED FUND (No. 2) BILL.","145","1 Jul. 1913","Commons",1913
"5560","CONSOLIDATED FUND (No. 2) BILL","1","5 Feb. 1973","Lords",1973
"5561","CONSOLIDATED FUND BILL","1","22 Feb. 1961","Commons",1961
"5562","Clause 3.—(SHORT TITLE.)","65, 66","22 Feb. 1961","Commons",1961
"5563","Clause 3.—(SHORT TITLE.)","63, 64","22 Feb. 1961","Commons",1961
"5564","Consolidated Fund Bill","432, 433","25 Jul. 1984","Commons",1984
"5565","Consolidated Fund Bill","40, 41","14 Dec. 1993","Commons",1993
"5566","CONSOLIDATED FUND [NO. 2] BILL","79","12 Feb. 1992","Commons",1992
"5567","CONSOLIDATED FUND.","12","23 Oct. 1899","Commons",1899
"5568","CONSOLIDATED FUND.","16, 17","24 Oct. 1899","Commons",1899
"5569","I. CONSOLIDATED FUND.","163, 164, 165, 166","5 May. 1936","Commons",1936
"5570","CONSPIRACY TO COMMIT OFFENCES OUTSIDE THE UNITED KINGDOM","76","14 Feb. 1997","Commons",1997
"5571","CONSPIRACY TO COMMIT OFFENCES OUTSIDE THE UNITED KINGDOM","361","2 Sep. 1998","Commons",1998
"5572","CONSTABULARY AND POLICE (IRELAND—No. 2) BILL.","361","15 Nov. 1918","Commons",1918
"5573","CLAUSE 3.—(Further Provisions as to Pensions to Widows of Constables.)","94","15 Nov. 1918","Commons",1918
"5574","CONSTITUENCIES AND REGIONS","157","4 May. 2004","Commons",2004
"5575","CONSTITUENCIES, REGIONS AND REGIONAL MEMBERS","143","28 Jan. 1998","Commons",1998
"5576","CONSTITUENCIES, REGIONS AND REGIONAL MEMBERS","375","11 Nov. 1998","Commons",1998
"5577","Constitution and Parliament","1","30 Nov. 1998","Commons",1998
"5578","CONSTITUTION AND PROCEDURE OF COURTS BOARDS","2","8 May. 2003","Lords",2003
"5579","CONSTITUTION AND PROCEEDINGS OF ADVISORY COMMITTEE","40, 41","10 Dec. 1986","Commons",1986
"5580","Constitution for Europe (Referendum)","1","12 Nov. 2003","Commons",2003
"5581","CONSTITUTION OF EGGS AUTHORITY","94","7 Apr. 1970","Commons",1970
"5582","CONSTITUTION OF NEW PRINCIPAL COUNCILS IN WALES","263","16 Jun. 1994","Commons",1994
"5583","CONSTITUTION OF REPRESENTATIVE BODY.","263","6 Jan. 1913","Commons",1913
"5584","CLAUSE 13.—(Power to Hold Synods and Constitute Representative Body.)","488, 489","6 Jan. 1913","Commons",1913
"5585","CONSTITUTION OF RHODESIA AND NYASALAND (AMENDMENT)","94","21 Feb. 1962","Commons",1962
"5586","CONSTITUTION OF THE AGRICULTURAL LAND TRIBUNAL","1","9 Oct. 2000","Lords",2000
"5587","CONSTITUTION OF THE CORPORATION","383","5 Nov. 1975","Commons",1975
"5588","CONSTITUTION, FUNCTIONS AND MEMBERSHIP OF DEER COMMISSION FOR SCOTLAND","189, 190","10 Jul. 1996","Commons",1996
"5589","Constitutional Change (Referendums)","180","9 Jul. 1996","Commons",1996
"5590","CONSTITUTIONAL CHANGES IN NORTHERN RHODESIA","1","8 Dec. 1953","Lords",1953
"5591","CONSTITUTIONAL COURT","272","12 May. 1998","Commons",1998
"5592","CONSTITUTIONAL LAW","89","3 Mar. 1999","Commons",1999
"5593","CONSTITUTIONAL LAW","87","3 Mar. 1999","Commons",1999
"5594","CONSTITUTIONAL LAW","88","3 Mar. 1999","Commons",1999
"5595","CONSTITUTIONAL LAW","260","11 Jul. 2000","Commons",2000
"5596","CONSTITUTIONAL LAW","259","11 Jul. 2000","Commons",2000
"5597","Constitutional Referendum Bill [H.L.]","2","22 Feb. 1982","Lords",1982
"5598","Constitutional Reform (Scotland)","125","26 Feb. 1985","Commons",1985
"5599","Constitutional Reform Bill [H.L.]","1","8 Mar. 2004","Lords",2004
"5600","Constitutional Reform Bill [H.L.]","1","13 Jul. 2004","Lords",2004
"5601","Constitutional Reform Bill [H.L.]","1, 2","15 Mar. 2005","Lords",2005
"5602","Constitutional Separation","144","9 Feb. 1993","Commons",1993
"5603","Construction Industry (Safety)","154","11 Apr. 1989","Commons",1989
"5604","36. CONSTRUCTION INDUSTRY SCHEME","102","23 Mar. 2004","Commons",2004
"5605","CONSTRUCTION INDUSTRY","117","2 May. 1977","Commons",1977
"5606","CONSTRUCTION OF REFERENCES TO LAND HELD FOR THE PURPOSES OF AN INSTITUTION","422","19 Jul. 1988","Commons",1988
"5607","CONSULTANCIES AND DISCLOSURES IN THE REGISTER OF MEMBERS' INTERESTS","211, 212, 213, 214","19 Jul. 1995","Commons",1995
"5608","CONSULTATION AND PUBLICITY","355, 356","14 Jun. 1988","Commons",1988
"5609","CONSULTATION ON PENSIONS UPRATING (RESIDENCE OUTSIDE GREAT BRITAIN)","196","4 Jul. 1995","Commons",1995
"5610","CONSULTATION ON PRINCIPLES","206","27 Mar. 1984","Commons",1984
"5611","CONSULTATION ON THE COST OF ENVIRONMENTAL PROTECTION MEASURES","356","10 Nov. 2003","Commons",2003
"5612","CONSULTATION WITH LOCAL AUTHORITIES","497","11 Nov. 1980","Commons",1980
"5613","CONSULTATION WITH LOCAL AUTHORITIES","114","19 Feb. 1985","Commons",1985
"5614","CONSULTATION WITH MEMBERS OF OTHER PROFESSIONS","310","18 Oct. 1982","Commons",1982
"5615","'Consultation with the Assembly","280, 281","8 Jul. 2003","Commons",2003
"5616","CONSULTATION","57","21 Feb. 1996","Commons",1996
"5617","CONSULTATIONS BY APPLICANT","381","27 Jun. 1988","Commons",1988
"5618","CONSULTATIVE MACHINERY","121","23 Apr. 1991","Commons",1991
"5619","CONSUMER GOODS (SHORTAGES)","288","26 Jun. 1947","Commons",1947
"5620","Consumer Guarantees Bill","52","26 Jan. 1990","Commons",1990
"5621","Consumer Guarantees Bill","150, 151","30 Mar. 1990","Commons",1990
"5622","Consumer Guarantees Bill","1","28 Jun. 1990","Lords",1990
"5623","CONSUMER PROTECTION AND COST OF LIVING","37","30 Nov. 1970","Commons",1970
"5624","CONSUMER PROTECTION BILL [H.L.]","1","29 Jan. 1968","Lords",1968
"5625","CONSUMER PROTECTION BILL [H.L.]","1","5 Feb. 1968","Lords",1968
"5626","Consumer Protection Bill [H.L.]","1, 2","19 Jan. 1987","Lords",1987
"5627","Consumer Protection Bill [H.L.]","1","20 Jan. 1987","Lords",1987
"5628","Consumer Protection Bill [H.L.]","1","29 Jan. 1987","Lords",1987
"5629","Consumer Protection Bill [H.L.]","2, 3, 4, 5","9 Mar. 1987","Lords",1987
"5630","Consumer Protection Bill [H.L.]","1","9 Mar. 1987","Lords",1987
"5631","Consumer Protection Bill [H.L.]","1","12 Mar. 1987","Lords",1987
"5632","Consumer Protection Bill [H.L.]","1","19 Mar. 1987","Lords",1987
"5633","CONSUMER PROTECTION BILL","1","5 May. 1961","Commons",1961
"5634","New Clause—(EXEMPTIONS.)","159","5 May. 1961","Commons",1961
"5635","CLAUSE 2.—(PROHIBITION ON SALE, ETC. OF GOODS NOT COMPLYING WITH REGULATIONS UNDER S. 1.)","160","5 May. 1961","Commons",1961
"5636","CONSUMER PROTECTION","116","20 May. 1963","Commons",1963
"5637","CONSUMER PROTECTION","364, 365","17 May. 1971","Commons",1971
"5638","Consumer Protection","66","15 Jan. 1985","Commons",1985
"5639","Consumer Protection","489","10 Nov. 1988","Commons",1988
"5640","CONSUMER SAFEGUARDS","196","9 Jul. 1958","Commons",1958
"5641","CONSUMERS' COMMITTEES","144","6 Apr. 1989","Commons",1989
"5642","CONSUMERS' COUNCIL BILL (SELECTION OF AMENDMENTS).","336, 337, 338","19 Jun. 1931","Commons",1931
"5643","CONSUMERS' COUNCIL BILL.","278, 279","8 May. 1930","Commons",1930
"5644","CONSUMERS' COUNCIL BILL.","32","10 Feb. 1939","Commons",1939
"5645","CONSUMERS' COUNCIL [EXPENSES].","280, 281","8 May. 1930","Commons",1930
"5646","CONSUMERS' COUNCIL [EXPENSES].","299","19 May. 1930","Commons",1930
"5647","CONSUMERS' COUNCIL [EXPENSES].","449, 450, 451","21 Jul. 1931","Commons",1931
"5648","CONTAGIOUS DISEASES (ANIMALS).","1","7 Feb. 1884","Commons",1884
"5649","CONTEMPT OF COURT (IRELAND).","35, 36, 37","10 Mar. 1908","Commons",1908
"5650","CONTEMPT OF COURT AND THE PHILLIMORE REPORT","1","7 May. 1980","Lords",1980
"5651","Contempt of Court Bill [H.L.]","1, 2","10 Feb. 1981","Lords",1981
"5652","CONTENT OF ANNUAL REPORTS","369","24 Jun. 1980","Commons",1980
"5653","CONTENTS OF SCHEMES.","105, 106","3 Apr. 1968","Commons",1968
"5654","CONTENTS OF VESTING ORDERS","259","1 Jul. 1975","Commons",1975
"5655","CONTINGENT LIABILITIES UNDER THE PRIVATE FINANCE INITIATIVE","289","3 Jul. 2002","Commons",2002
"5656","CONTINUANCE IN FORCE OF PROVISION RELATING TO CONTROL OF OFFICE DEVELOPMENT","227","27 Jul. 1977","Commons",1977
"5657","CONTINUANCE Of ADDITIONAL CUS- TOMS DUTIES ON TOBACCO, BEER, AND SPIRITS.","129","10 Apr. 1905","Commons",1905
"5658","CONTINUANCE OF ADDITIONAL CUSTOMS DUTIES.","1","15 Apr. 1902","Commons",1902
"5659","CONTINUANCE OF ADDITIONAL DUTIES OF CUSTOMS.","148","25 Apr. 1901","Commons",1901
"5660","CONTINUANCE OF ADDITIONAL EXCISE DUTIES ON BEER AND SPIRITS.","130","10 Apr. 1905","Commons",1905
"5661","CONTINUANCE OF ADDITIONAL EXCISE DUTY ON SPIRITS.","157","29 Apr. 1901","Commons",1901
"5662","CONTINUANCE OF ADDITIONAL EXCISE DUTY ON SPIRITS.","167","2 May. 1901","Commons",1901
"5663","CONTINUANCE OF DUTIES.","167","22 Jun. 1916","Commons",1916
"5664","CLAUSE 28.—(Belief in Respect of Colonial Income Tax.)","27","22 Jun. 1916","Commons",1916
"5665","CONTINUANCE OF THE POOR-LAW COMMISSION.","1","15 Aug. 1839","Lords",1839
"5666","CONTINUATION IN FORCE OF 1973 SECTION 10","318, 319, 320","27 Jul. 1978","Commons",1978
"5667","CONTINUATION OF DUTIES (CUSTOMS).","29","7 May. 1919","Commons",1919
"5668","CONTINUATION OF POWERS UNDER SECTION 9 OF FINANCE ACT 1961","360","11 May. 1971","Commons",1971
"5669","CONTINUATION SCHOOLS BILL [H.L.]","1","7 Apr. 1905","Lords",1905
"5670","CONTINUED WILFUL OBSTRUCTION OF PUBLIC RIGHTS OF WAY","297","30 Jul. 1981","Commons",1981
"5671","CONTINUITY OF EXISTING FLUORIDATION SCHEMES","303","24 Oct. 1985","Commons",1985
"5672","CONTRACT NOTES.","117","18 May. 1909","Commons",1909
"5673","CONTRACT NOTES.","140","26 May. 1909","Commons",1909
"5674","Contracting Out","122","30 Mar. 1995","Commons",1995
"5675","CONTRACTING OUT","295","8 Jun. 1998","Commons",1998
"5676","CONTRACTS BY LANDLORD IN LETTING WORKING- CLASS HOUSES.","295","1 Nov. 1909","Commons",1909
"5677","CLAUSE 15.—(Condition as to Keeping Houses Let to Persons of the Working Classes in Repair.)","878, 879","1 Nov. 1909","Commons",1909
"5678","CLAUSE 23.—(Amendment of Principal Act as to Contents of Schemes.)","880","1 Nov. 1909","Commons",1909
"5679","CLAUSE 32.—(Expenses of Rural District Council under Part III. of the Prin- cipal Act.)","881, 882","1 Nov. 1909","Commons",1909
"5680","CONTRACTS COMPLIANCE IN RELATION TO PUBLIC SUPPLY OR WORKS CONTRACTS (No. 2)","114","15 Dec. 1987","Commons",1987
"5681","CONTRACTS OF EMPLOYMENT BILL","114","1 May. 1963","Commons",1963
"5682","Clause 4.—(WRITTEN PARTICULARS OF TERMS OF EMPLOYMENT.)","105","1 May. 1963","Commons",1963
"5683","CONTRIBUTION CONDITIONS FOR SHORT-TERM BENEFITS","133","13 Jan. 1988","Commons",1988
"5684","CONTRIBUTION TO COMPENSATION ON COMPLAINT UNDER SECTION 94","247","16 Mar. 1971","Commons",1971
"5685","CONTRIBUTIONS FOR EXPENSES OF PERSONS RETURNING ABROAD","382","17 Jun. 1971","Commons",1971
"5686","CONTRIBUTIONS FROM IRONSTONE OPERATORS TOWARDS IRONSTONE RESTORATION FUND","437","19 Jul. 1971","Commons",1971
"5687","CONTRIBUTIONS IN RESPECT OF BENEFITS IN KIND: GREAT BRITAIN","134","3 Apr. 2000","Commons",2000
"5688","CONTRIBUTIONS TO TRAINING AND ENTERPRISE COUNCILS","207","15 May. 1990","Commons",1990
"5689","CONTRIBUTIONS TOWARDS EXPENDITURE ON CONCURRENT FUNCTIONS","351","24 Oct. 1972","Commons",1972
"5690","(CONTRIBUTIONS UNDER NATIONAL INSURANCE ACT, 1965.)","66","26 Feb. 1968","Commons",1968
"5691","CONTRIBUTIONS","15, 16","26 Nov. 1974","Commons",1974
"5692","CONTRIBUTORY PENSIONS BILL.","15, 16","21 Jul. 1920","Commons",1920
"5693","CLAUSE 1.—(Contributory Pensions for widows, orphans, and persons between the ages of 65 and 70.)","303, 304, 305, 306","21 Jul. 1920","Commons",1920
"5694","CLAUSE 22.—(Residential Qualification of Pensioners, etc.)","307, 308, 309","21 Jul. 1920","Commons",1920
"5695","CLAUSE 22.—(Residential Qualification of Pensioners, etc.)","252, 253","2 Jul. 1925","Commons",1925
"5696","CLAUSE 22.—(Residential Qualification of Pensioners, etc.)","252, 253","3 Jul. 1925","Commons",1925
"5697","CLAUSE 8.—(Statutory conditions as to Old Age Pensions.)","254, 255","3 Jul. 1925","Commons",1925
"5698","CLAUSE 9.—(Rates of contributions.)","256","3 Jul. 1925","Commons",1925
"5699","CLAUSE 9.—(Rates of contributions.)","262, 263, 264, 265, 266, 267, 268","13 Jul. 1925","Commons",1925
"5700","CLAUSE 9.—(Rates of contributions.)","262, 263, 264, 265, 266, 267, 268","14 Jul. 1925","Commons",1925
"5701","CLAUSE 18.—(Widows and orphans pensions when husband or parent died before the commencement of Act.)","270, 271, 272, 273, 274, 275","14 Jul. 1925","Commons",1925
"5702","CLAUSE 21.—(Disqualifications.)","276, 278, 279, 280","14 Jul. 1925","Commons",1925
"5703","CLAUSE 24.—(Provision against double pensions.)","281, 282","14 Jul. 1925","Commons",1925
"5704","CLAUSE 24.—(Provision against double pensions.)","284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299","15 Jul. 1925","Commons",1925
"5705","CLAUSE 24.—(Provision against double pensions.)","354","5 Aug. 1925","Commons",1925
"5706","CONTRIBUTORY PENSIONS BILL","220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231","30 Jun. 1925","Commons",1925
"5707","CONTRIBUTORY PENSIONS BILL","220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231","1 Jul. 1925","Commons",1925
"5708","CLAUSE 1.—(Contributory Pensions for Widows, orphans and persons between the ages of 65 and 70.)","233, 234","1 Jul. 1925","Commons",1925
"5709","CLAUSE 2.—(Meaning of ""insured."")","235, 236","1 Jul. 1925","Commons",1925
"5710","CLAUSE 3.—(Widows' pensions.)","237, 238, 239, 240, 241, 242, 243, 244","1 Jul. 1925","Commons",1925
"5711","CLAUSE 5.—(Statutory conditions as to widows' and orphans' pensions.)","245, 246, 247, 248, 249, 250","1 Jul. 1925","Commons",1925
"5712","CONTRIBUTORYPENSIONSBILL.","311, 312, 313, 314, 315, 316","22 Jul. 1925","Commons",1925
"5713","CONTROL OF ADVERTISEMENTS","35","10 Dec. 1969","Commons",1969
"5714","CONTROL OF DEPOSIT-TAKING AND MEANING OF ""DEPOSIT""","80","14 Feb. 1979","Commons",1979
"5715","CONTROL OF GENERAL EXPENDITURE POWERS","458, 459, 460, 461","30 Jul. 1984","Commons",1984
"5716","CONTROL OF DOGS NOT OTHERWISE REGULATED","161","10 Jun. 1991","Commons",1991
"5717","CONTROL OF EMPLOYMENT BILL.","298","14 Sep. 1939","Commons",1939
"5718","CONTROL OF ENGAGEMENT ORDER","9, 10","3 Nov. 1947","Commons",1947
"5719","CONTROL OF ENGAGEMENT ORDER","32","6 Dec. 1948","Commons",1948
"5720","CONTROL OF ENGAGEMENT ORDERS","284","9 Oct. 1946","Commons",1946
"5721","CONTROL OF FUEL (RESTRICTION OF HEATING) ORDER","180","1 May. 1947","Commons",1947
"5722","CONTROL OF GENERAL EXPENDITURE POWERS","455, 456, 457","30 Jul. 1984","Commons",1984
"5723","CONTROL OF GOVERNMENT BORROWING","154","25 May. 1976","Commons",1976
"5724","Control of Inflation (Local Government) Bill","188","1 May. 1990","Commons",1990
"5725","CONTROL OF LIABILITIES AFFECTING SUCCESSOR AUTHORITIES","167","27 Mar. 1985","Commons",1985
"5726","CONTROL OF OFF-STREET PARKING","321","31 Jul. 1978","Commons",1978
"5727","CONTROL OF OFFICE DEVELOPMENT BILL","142","17 May. 1977","Commons",1977
"5728","CONTROL OF OFFICE DEVELOPMENT BILL","142","15 Jun. 1977","Commons",1977
"5729","Clause 1","152, 1531","15 Jun. 1977","Commons",1977
"5730","Control of Pollution (Amendment) Bill","1","14 Jun. 1989","Lords",1989
"5731","Control of Space Invaders and Other Electronic Games","190","20 May. 1981","Commons",1981
"5732","CONTROL OF SUBSIDIARIES","296","8 Nov. 1999","Commons",1999
"5733","CONTROL OF SURPLUS ARMAMENTS","59","8 Apr. 1964","Commons",1964
"5734","CONTROL OF THE USE OF LARGE GOODS VEHICLES","301","17 Oct. 1968","Commons",1968
"5735","CONTROL OF ZOOLOGICAL GARDENS BILL [H.L.]","1","22 Jun. 1973","Lords",1973
"5736","CONTROLLED FOREIGN COMPANIES.","279","19 Jul. 2000","Commons",2000
"5737","41. CONTROLLED FOREIGN COMPANIES","216","23 Apr. 2002","Commons",2002
"5738","CONTROLLED FOREIGN COMPANIES: TERRITORIAL EXCLUSIONS FROM S.748 EXEMPTIONS","292","4 Jul. 2002","Commons",2002
"5739","CONTROLS ON OFFSHORE POWER GENERATION PLANT","1","19 Apr. 1999","Lords",1999
"5740","CONTROVERSIAL LEGISLATION (SUSPENSION DURING WAR) BILL. [H.L.]","1","15 Sep. 1914","Lords",1914
"5741","CONVENER AND DEPUTE CONVENER","319","1 Nov. 1994","Commons",1994
"5742","CONVENTION ON FUTURE GOVERNMENT OF NORTHERN IRELAND","82","15 Jul. 1974","Commons",1974
"5743","Convention on the Future of Europe","285, 286","9 Jul. 2003","Commons",2003
"5744","CONVERGENCE CRITERIA: ASSESSMENT OF DEFICITS","255","4 May. 1993","Commons",1993
"5745","CONVERSION OF CONTROLLED TENANCIES OF DWELLINGS PROVIDED WITH STANDARD AMENITIES AND IN GOOD REPAIR.","297","26 Jun. 1969","Commons",1969
"5746","CONVEYANCING (SCOTLAND) BILL. (NO. 204.)","1","1 Aug. 1873","Lords",1873
"5747","CONVICTION OF PERSON INVOLVED IN CARE OF A CHILD","369","28 Oct. 1975","Commons",1975
"5748","COPYRIGHT BILL [H.L.]","1","6 Dec. 1955","Lords",1955
"5749","COPYRIGHT BILL [H.L.]","1, 2","14 Feb. 1956","Lords",1956
"5750","COPYRIGHT BILL [Lords]","1, 2","24 Oct. 1956","Commons",1956
"5751","Clause 2.—(COPYRIGHT IN LITERARY DRAMATIC AND MUSICAL WORKS.)","282","24 Oct. 1956","Commons",1956
"5752","Clause 4.—(OWNERSHIP OF COPYRIGHT IN LITERARY, DRAMATIC, MUSICAL AND ARTISTIC WORKS.)","283","24 Oct. 1956","Commons",1956
"5753","Clause 6.—(GENERAL EXCEPTIONS FROM PROTECTION OF LITERARY, DRAMATIC AND MUSICAL WORKS.)","284, 285","24 Oct. 1956","Commons",1956
"5754","Clause 8.—(SPECIAL EXCEPTION IN RESPECT OF RECORDS OF MUSICAL WORKS.)","286, 287","24 Oct. 1956","Commons",1956
"5755","Clause 8.—(SPECIAL EXCEPTION IN RESPECT OF RECORDS OF MUSICAL WORKS.)","286, 287","25 Oct. 1956","Commons",1956
"5756","Clause 40.—(BROADCASTS OF SOUND RECORDINGS CINEMATOGRAPH FILMS, AND DIFFUSION OF BROADCAST PROGRAMMES.)","289","25 Oct. 1956","Commons",1956
"5757","COPYRIGHT BILL.","1","15 Nov. 1911","Lords",1911
"5758","Copyright, Designs and Patents Bill [H.L.]","1","10 Dec. 1987","Lords",1987
"5759","Copyright, Designs and Patents Bill [H.L.]","2, 3","23 Feb. 1988","Lords",1988
"5760","Copyright, Designs and Patents Bill [H.L.]","1","23 Feb. 1988","Lords",1988
"5761","Copyright, Designs and Patents Bill [H.L.]","2","25 Feb. 1988","Lords",1988
"5762","Copyright, Designs and Patents Bill [H.L.]","1","25 Feb. 1988","Lords",1988
"5763","Copyright, Designs and Patents Bill [H.L.]","1","29 Mar. 1988","Lords",1988
"5764","CORK CITY RAILWAYS AND WORKS BILL (BY ORDER).","122","14 Jun. 1906","Commons",1906
"5765","CORN PRODUCTION (AMENDMENT) BILL. [H.L.]","1","9 Jul. 1918","Lords",1918
"5766","CORN PRODUCTION (AMENDMENT) BILL. [H.L.]","1","11 Jul. 1918","Lords",1918
"5767","CORN PRODUCTION ACTS (REPEAL) BILL.","1, 2","4 Aug. 1921","Lords",1921
"5768","CORN PRODUCTION ACTS (REPEAL) BILL.","1","4 Aug. 1921","Lords",1921
"5769","CORN PRODUCTION ACTS (REPEAL) BILL.","1, 2","10 Aug. 1921","Lords",1921
"5770","CORN PRODUCTION BILL.—","1, 2","11 Jul. 1917","Commons",1917
"5771","CLAUSE 1.—(Payments to Growers where Average Price of Wheat or Oats is Less than Minimum.)","69, 70","11 Jul. 1917","Commons",1917
"5772","CORN PRODUCTION BILL.","33","25 Apr. 1917","Commons",1917
"5773","CORN PRODUCTION BILL.","68","10 Jul. 1917","Commons",1917
"5774","CORN PRODUCTION BILL.","1","15 Aug. 1917","Lords",1917
"5775","CORN PRODUCTION BILL.","1","16 Aug. 1917","Lords",1917
"5776","CORN PRODUCTION BILL.","1, 2, 3","17 Aug. 1917","Lords",1917
"5777","CORN PRODUCTION [EXPENSES]","51, 52, 53, 54","13 Jun. 1917","Commons",1917
"5778","CORN SALES BILL.","1","20 Apr. 1898","Commons",1898
"5779","CORN SALES BILL","1","3 Jun. 1921","Commons",1921
"5780","CLAUSE 6.—(Interpretation.)","148","3 Jun. 1921","Commons",1921
"5781","Cornwall County Council Bill [Lords]","434","25 Jul. 1984","Commons",1984
"5782","CORONATION OF HIS MAJESTY.","86","22 Feb. 1937","Commons",1937
"5783","CORONERS (REMUNERATION) BILL.","86","10 Jun. 1921","Commons",1921
"5784","CLAUSE 1.—(Increase in coroners' remuneration.)","159","10 Jun. 1921","Commons",1921
"5785","CORONERS' INQUESTS BILL.","72","3 Apr. 1908","Commons",1908
"5786","CORONERS.","1","7 Aug. 1843","Lords",1843
"5787","Corporal Punishment (Re-introduction)","157","6 Jun. 1995","Commons",1995
"5788","CORPORAL PUNISHMENT BILL","115","29 Apr. 1977","Commons",1977
"5789","CORPORAL PUNISHMENT LAWFUL WITH PARENTAL CONSENT","57","28 Jan. 1997","Commons",1997
"5790","CORPORAL PUNISHMENT","210","8 Jun. 1981","Commons",1981
"5791","CORPORATION OF LONDON (BRIDGE) BILL (By Order).","195","12 Feb. 1929","Commons",1929
"5792","CORPORATION OF LONDON (BRIDGES) BILL. [By ORDER.]","249","14 Jun. 1911","Commons",1911
